,shared_url,n_shared,from_n_users,users,n_urls,platform,from,id/url,text,n_likes,n_replies,total,url_id
51,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,6,1,"(2226100100.0,)",{1},instagram,comment,2.517016217125287e+18,@natmargolla https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,16.0,,16.0,instagram_comments_4_months_22
52,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,6,1,"(2226100100.0,)",{1},instagram,comment,2.517016217125287e+18,@grigorimary https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,8.0,,8.0,instagram_comments_4_months_31
53,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,1,1,{'UCg0o12RVP-jKNyVW4Jhtrdg'},{4},youtube,comment,2.517016217125287e+18,@yuliannagonca https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,61.0,,61.0,instagram_comments_4_months_5
54,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,1,1,{'UCg0o12RVP-jKNyVW4Jhtrdg'},{4},youtube,comment,2.517016217125287e+18,@dan_mgf https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,22.0,,22.0,instagram_comments_4_months_18
55,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,1,1,{'UCg0o12RVP-jKNyVW4Jhtrdg'},{4},youtube,comment,2.517016217125287e+18,@dan_mgf https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,22.0,,22.0,instagram_comments_4_months_19
56,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,1,1,{'UCg0o12RVP-jKNyVW4Jhtrdg'},{4},youtube,comment,2.517016217125287e+18,@dan_mgf https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,22.0,,22.0,instagram_comments_4_months_20
57,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,1,1,{'UCg0o12RVP-jKNyVW4Jhtrdg'},{4},youtube,comment,2.517016217125287e+18,@natmargolla https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,16.0,,16.0,instagram_comments_4_months_22
58,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,1,1,{'UCg0o12RVP-jKNyVW4Jhtrdg'},{4},youtube,comment,2.517016217125287e+18,@grigorimary https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,8.0,,8.0,instagram_comments_4_months_31
59,https://www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,3,3,"(12578338476.0, 492318828.0, 437045293.0)",{1},instagram,comment,2.515802777203286e+18,https://www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow.,9.0,2.0,11.0,instagram_comments_4_months_23
60,https://www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,8,3,"('UCgmI1ssTMFiOREfpQCpwAIA', 'UCCpwUMt6Ra-k1FzdGlTR8Zw', 'UCz5uxI4MPMzRYMIxnDgM9Bg')",{1},youtube,comment,2.515802777203286e+18,https://www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow.,9.0,2.0,11.0,instagram_comments_4_months_23
